,Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
0,134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5300.0
1,743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17000.0
2,874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130000.0
3,413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91000.0
4,635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320000.0
5,661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39000.0
6,54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350000.0
7,488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2400.0
8,58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61000.0
9,129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12000.0
10,283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4000.0
11,35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13000.0
12,43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130000.0
13,631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11000.0
14,861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27000.0
15,281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110000.0
16,828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13000.0
17,819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6600.0
18,63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540000.0
19,142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22000.0
20,612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2900.0
21,604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80000.0
22,727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9900.0
23,51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110000.0
